Car Name,Monthly Payment,Initial Payment,Upfront,Contract Length,Milage,Document Fee
KIA XCEED1.6 GDi PHEV 3 5dr DCT,516.44,£4647.96,9,24,30000,199
KIA XCEED1.6 GDi PHEV 3 5dr DCT,373.65,£3362.85,9,36,30000,199
KIA XCEED1.6 GDi PHEV 3 5dr DCT,358.69,£3228.21,9,48,30000,199
AUDI A330 TFSI Technik 5dr S Tronic [Comfort+Sound],350.71,£3156.39,9,24,30000,165.83
AUDI A330 TFSI Technik 5dr S Tronic [Comfort+Sound],318.67,£2868.03,9,36,30000,165.83
AUDI A330 TFSI Technik 5dr S Tronic [Comfort+Sound],298.12,£2683.08,9,48,30000,165.83
VOLKSWAGEN ARTEON1.5 TSI SE Nav 5dr,403.64,£3632.76,9,36,30000,165.83
VOLKSWAGEN ARTEON1.5 TSI SE Nav 5dr,403.85,£3634.65,9,48,30000,165.83
VOLKSWAGEN ARTEON1.5 TSI SE Nav 5dr,572.77,£5154.93,9,24,30000,199
VOLKSWAGEN ARTEON1.5 TSI SE Nav 5dr,484.37,£4359.33,9,36,30000,199
VOLKSWAGEN ARTEON1.5 TSI SE Nav 5dr,484.62,£4361.58,9,48,30000,199
VOLKSWAGEN ARTEON1.5 TSI R Line 5dr,499.68,£4497.12,9,24,30000,165.83
VOLKSWAGEN ARTEON1.5 TSI R Line 5dr,445.88,£4012.92,9,36,30000,165.83
VOLKSWAGEN ARTEON1.5 TSI R Line 5dr,430.71,£3876.39,9,48,30000,165.83
VOLKSWAGEN ARTEON1.5 TSI R Line 5dr,599.62,£5396.58,9,24,30000,199
VOLKSWAGEN ARTEON1.5 TSI R Line 5dr,535.06,£4815.54,9,36,30000,199
VOLKSWAGEN ARTEON1.5 TSI R Line 5dr,516.86,£4651.74,9,48,30000,199
VOLKSWAGEN ARTEON2.0 TDI 200 Elegance 5dr DSG,556.5,£5008.50,9,24,30000,165.83
VOLKSWAGEN ARTEON2.0 TDI 200 Elegance 5dr DSG,488.28,£4394.52,9,36,30000,165.83
VOLKSWAGEN ARTEON2.0 TDI 200 Elegance 5dr DSG,480.95,£4328.55,9,48,30000,165.83
VOLKSWAGEN ARTEON2.0 TDI 200 Elegance 5dr DSG,667.8,£6010.20,9,24,30000,199
VOLKSWAGEN ARTEON2.0 TDI 200 Elegance 5dr DSG,585.94,£5273.46,9,36,30000,199
VOLKSWAGEN ARTEON2.0 TDI 200 Elegance 5dr DSG,577.14,£5194.26,9,48,30000,199
HYUNDAI I301.5T GDi N Line 5dr DCT,380.6,£3425.40,9,24,30000,165.83
HYUNDAI I301.5T GDi N Line 5dr DCT,322.51,£2902.59,9,36,30000,165.83
HYUNDAI I301.5T GDi N Line 5dr DCT,288.65,£2597.85,9,48,30000,165.83
HYUNDAI I301.5T GDi N Line 5dr DCT,458.55,£4126.95,9,24,30000,199
HYUNDAI I301.5T GDi N Line 5dr DCT,387.01,£3483.09,9,36,30000,199
HYUNDAI I301.5T GDi N Line 5dr DCT,346.38,£3117.42,9,48,30000,199
HYUNDAI I301.0T GDi Premium 5dr DCT,361.58,£3254.22,9,24,30000,165.83
HYUNDAI I301.0T GDi Premium 5dr DCT,308.42,£2775.78,9,36,30000,165.83
HYUNDAI I301.0T GDi Premium 5dr DCT,277.29,£2495.61,9,48,30000,165.83
HYUNDAI I301.0T GDi Premium 5dr DCT,434.08,£3906.72,9,24,30000,199
HYUNDAI I301.0T GDi Premium 5dr DCT,373.93,£3365.37,9,36,30000,199
HYUNDAI I301.0T GDi Premium 5dr DCT,332.19,£2989.71,9,48,30000,199
HYUNDAI I301.6 CRDi SE Connect 5dr,345.88,£3112.92,9,24,30000,165.83
HYUNDAI I301.6 CRDi SE Connect 5dr,287.92,£2591.28,9,36,30000,165.83
HYUNDAI I301.6 CRDi SE Connect 5dr,257.42,£2316.78,9,48,30000,165.83
HYUNDAI I301.6 CRDi SE Connect 5dr,406.9,£3662.10,9,24,30000,199
HYUNDAI I301.6 CRDi SE Connect 5dr,348.91,£3140.19,9,36,30000,199
HYUNDAI I301.6 CRDi SE Connect 5dr,308.53,£2776.77,9,48,30000,199
AUDI A130 TFSI 110 Sport 5dr,327.15,£2944.35,9,24,30000,165.83
AUDI A130 TFSI 110 Sport 5dr,292.58,£2633.22,9,36,30000,165.83
AUDI A130 TFSI 110 Sport 5dr,271.62,£2444.58,9,48,30000,165.83
AUDI A130 TFSI 110 Sport 5dr,392.4,£3531.60,9,24,30000,199
AUDI A130 TFSI 110 Sport 5dr,350.35,£3153.15,9,36,30000,199
AUDI A130 TFSI 110 Sport 5dr,325.56,£2930.04,9,48,30000,199
AUDI A130 TFSI 110 Vorsprung 5dr,493.9,£4445.10,9,24,30000,165.83
AUDI A130 TFSI 110 Vorsprung 5dr,396.01,£3564.09,9,36,30000,165.83
AUDI A130 TFSI 110 Vorsprung 5dr,362.47,£3262.23,9,48,30000,165.83
AUDI A130 TFSI 110 Vorsprung 5dr,592.68,£5334.12,9,24,30000,199
AUDI A130 TFSI 110 Vorsprung 5dr,475.22,£4276.98,9,36,30000,199
AUDI A130 TFSI 110 Vorsprung 5dr,435.35,£3918.15,9,48,30000,199
HYUNDAI I201.0T GDi 48V MHD Ultimate 5dr,367.93,£3311.37,9,24,30000,165.83
HYUNDAI I201.0T GDi 48V MHD Ultimate 5dr,313.08,£2817.72,9,36,30000,165.83
HYUNDAI I201.0T GDi 48V MHD Ultimate 5dr,279.19,£2512.71,9,48,30000,165.83
HYUNDAI I201.0T GDi 48V MHD Ultimate 5dr,442.24,£3980.16,9,24,30000,199
HYUNDAI I201.0T GDi 48V MHD Ultimate 5dr,375.51,£3379.59,9,36,30000,199
HYUNDAI I201.0T GDi 48V MHD Ultimate 5dr,335.03,£3015.27,9,48,30000,199
AUDI A535 TFSI Sport 2dr S Tronic [Comfort+Sound],619.94,£5579.46,9,24,30000,165.83
AUDI A535 TFSI Sport 2dr S Tronic [Comfort+Sound],520.55,£4684.95,9,36,30000,165.83
AUDI A535 TFSI Sport 2dr S Tronic [Comfort+Sound],469.37,£4224.33,9,48,30000,165.83
AUDI A535 TFSI Sport 2dr S Tronic [Comfort+Sound],743.93,£6695.37,9,24,30000,199
AUDI A535 TFSI Sport 2dr S Tronic [Comfort+Sound],624.66,£5621.94,9,36,30000,199
AUDI A535 TFSI Sport 2dr S Tronic [Comfort+Sound],563.24,£5069.16,9,48,30000,199
SKODA FABIA1.0 TSI SE Drive 5dr DSG,325.79,£2932.11,9,24,30000,165.83
SKODA FABIA1.0 TSI SE Drive 5dr DSG,269.89,£2429.01,9,36,30000,165.83
